candidate_id,escaped_backbone,denominators,min_denominator,max_denominator,length,gap_pattern,exact_sum,sum_minus_1,kill_mask,kill_primes,kill_count,first_killing_prime,covering_third_primes,contains_37_38,contains_61_62,contains_adjacent_factor_pair,valuation_profile_p2,top_layer_residue_sum_p2,valuation_profile_p13,top_layer_residue_sum_p13,valuation_profile_p17,top_layer_residue_sum_p17,valuation_profile_p19,top_layer_residue_sum_p19,valuation_profile_p31,top_layer_residue_sum_p31,valuation_profile_p37,top_layer_residue_sum_p37,valuation_profile_p41,top_layer_residue_sum_p41,valuation_profile_p47,top_layer_residue_sum_p47,valuation_profile_p53,top_layer_residue_sum_p53,valuation_profile_p59,top_layer_residue_sum_p59,valuation_profile_p61,top_layer_residue_sum_p61,source_chunk,source_csv
S9_9:112178,19+37,9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,9,35,19,2;1;1;2;2;1;2;2;1;1;1;1;1;2;2;1;1;2,688359779761/690926090400,-2566310639/690926090400,259951,2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,15,2,19+37->2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=13;26,8,max=1;tops=17,1,max=0;tops=9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,1,max=1;tops=31,1,max=0;tops=9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,1,max=0;tops=9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,0,max=0;tops=9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,20,max=0;tops=9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,26,max=0;tops=9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,19,max=0;tops=9;11;12;13;15;17;18;20;22;23;24;25;26;27;29;31;32;33;35,23,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:121976,19+37,9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,9,33,18,2;1;2;1;1;1;1;2;1;1;2;1;1;2;2;2;1,3691007/3712800,-21793/3712800,258925,2;5;7;13;17;23;29;41;43;47;53;59;61,13,2,19+37->2;5;7;13;17;23;29;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=26,7,max=1;tops=17,1,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,1,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,1,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,1,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,16,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,35,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,8,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,3,max=0;tops=9;11;12;14;15;16;17;18;20;21;22;24;25;26;28;30;32;33,11,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:126221,19+37,9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,9,34,19,2;1;2;1;1;2;2;1;2;1;2;1;1;1;1;1;2;1,756423899801/760018699440,-3594799639/760018699440,259967,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,16,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=4;tops=16,1,max=1;tops=26,7,max=1;tops=34,9,max=0;tops=9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,1,max=1;tops=31,1,max=0;tops=9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,1,max=0;tops=9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,5,max=0;tops=9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,7,max=0;tops=9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,14,max=0;tops=9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,19,max=0;tops=9;11;12;14;15;16;18;20;21;23;24;26;27;28;29;30;31;33;34,36,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:130481,19+37,9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,9,36,19,2;1;2;1;2;1;2;1;1;1;2;1;1;2;1;2;2;2,244219486481/245167322400,-947835919/245167322400,259967,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,16,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=26,7,max=1;tops=17;34,10,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,1,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,0,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,1,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,0,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,31,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,38,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,54,max=0;tops=9;11;12;14;15;17;18;20;21;22;23;25;26;27;29;30;32;34;36,28,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:171193,19+37,9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,9,36,20,2;1;2;2;2;2;1;1;2;1;1;1;1;1;1;1;2;1;2,14995462021/15020132400,-24670379/15020132400,259951,2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,15,2,19+37->2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=4;tops=16,1,max=1;tops=26,7,max=1;tops=34,9,max=0;tops=9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,1,max=1;tops=31,1,max=0;tops=9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,1,max=0;tops=9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,28,max=0;tops=9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,4,max=0;tops=9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,24,max=0;tops=9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,56,max=0;tops=9;11;12;14;16;18;20;21;22;24;25;26;27;28;29;30;31;33;34;36,57,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:191566,19+37,9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,9,31,18,2;2;1;1;1;1;1;2;1;1;1;1;2;1;1;1;2,760086954413/760018699440,68254973/760018699440,259967,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,16,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=4;tops=16,1,max=1;tops=13;26,8,max=1;tops=17,1,max=0;tops=9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,1,max=1;tops=31,1,max=0;tops=9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,1,max=0;tops=9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,32,max=0;tops=9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,44,max=0;tops=9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,44,max=0;tops=9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,53,max=0;tops=9;11;13;14;15;16;17;18;20;21;22;23;24;26;27;28;29;31,26,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:192152,19+37,9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,9,36,19,2;2;1;1;1;1;1;2;2;2;2;1;2;1;2;1;2;1,5494493/5537376,-42883/5537376,128867,2;3;13;17;23;29;31;41;43;47;53;59,12,2,19+37->2;3;13;17;23;29;31;41;43;47;53;59,false,false,false,max=5;tops=32,1,max=1;tops=13;26,8,max=1;tops=17,1,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,1,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,22,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,1,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,20,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,10,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,16,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,0,max=0;tops=9;11;13;14;15;16;17;18;20;22;24;26;27;29;30;32;33;35;36,1,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:202025,19+37,9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,9,36,20,2;2;1;1;2;1;2;1;1;2;2;1;1;2;1;2;1;1;1,1493173/1479816,13357/1479816,259939,2;3;13;17;23;29;31;41;43;47;53;59;61,13,2,19+37->2;3;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=3;tops=24,1,max=1;tops=13;26,8,max=1;tops=17;34,10,max=0;tops=9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,1,max=1;tops=31,1,max=0;tops=9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,1,max=0;tops=9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,39,max=0;tops=9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,35,max=0;tops=9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,19,max=0;tops=9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,8,max=0;tops=9;11;13;14;15;17;18;20;21;22;24;26;27;28;30;31;33;34;35;36,26,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:280643,19+37,9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,9,36,20,2;2;2;1;1;1;2;2;1;1;2;1;1;1;2;2;1;1;1,68892668107/69092609040,-199940933/69092609040,259951,2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,15,2,19+37->2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=4;tops=16,1,max=1;tops=13;26,8,max=1;tops=17;34,10,max=0;tops=9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,1,max=1;tops=31,1,max=0;tops=9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,1,max=0;tops=9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,27,max=0;tops=9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,39,max=0;tops=9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,33,max=0;tops=9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,46,max=0;tops=9;11;13;15;16;17;18;20;22;23;24;26;27;28;29;31;33;34;35;36,38,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
S9_9:362314,19+37,9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,9,35,20,2;2;2;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;2,688359779761/690926090400,-2566310639/690926090400,259951,2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,15,2,19+37->2;3;5;7;13;17;23;29;31;41;43;47;53;59;61,false,false,false,max=5;tops=32,1,max=1;tops=13;26,8,max=1;tops=17,1,max=0;tops=9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,1,max=1;tops=31,1,max=0;tops=9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,1,max=0;tops=9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,0,max=0;tops=9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,20,max=0;tops=9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,26,max=0;tops=9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,19,max=0;tops=9;11;13;15;17;18;20;21;22;23;24;25;26;27;28;29;31;32;33;35,23,S9_9,artifacts/results/anomalies_N65_candidates_S9_9.csv
