candidate_id,escaped_backbone,denominators,min_denominator,max_denominator,length,gap_pattern,exact_sum,sum_minus_1,kill_mask,kill_primes,kill_count,first_killing_prime,covering_third_primes,contains_37_38,contains_61_62,contains_adjacent_factor_pair,valuation_profile_p2,top_layer_residue_sum_p2,valuation_profile_p13,top_layer_residue_sum_p13,valuation_profile_p17,top_layer_residue_sum_p17,valuation_profile_p19,top_layer_residue_sum_p19,valuation_profile_p31,top_layer_residue_sum_p31,valuation_profile_p37,top_layer_residue_sum_p37,valuation_profile_p41,top_layer_residue_sum_p41,valuation_profile_p47,top_layer_residue_sum_p47,valuation_profile_p53,top_layer_residue_sum_p53,valuation_profile_p59,top_layer_residue_sum_p59,valuation_profile_p61,top_layer_residue_sum_p61,valuation_profile_p67,top_layer_residue_sum_p67
16667,2+31,8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,8,28,15,1;2;1;1;1;1;2;1;1;2;2;1;2;2,222941683/223092870,-151187/223092870,523260,5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,16,5,2+31->5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=13;26,8,max=1;tops=17,1,max=1;tops=19,1,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,1,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,33,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,2,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,31,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,25,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,7,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,53,max=0;tops=8;9;11;12;13;14;15;17;18;19;21;23;24;26;28,39
16718,2+31,8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,8,26,15,1;2;1;1;1;1;2;2;2;1;1;1;1;1,6649329959/6692786100,-43456141/6692786100,523262,3;5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,17,3,2+31->3;5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=13;26,8,max=1;tops=17,1,max=1;tops=19,1,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,1,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,29,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,15,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,2,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,44,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,42,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,59,max=0;tops=8;9;11;12;13;14;15;17;19;21;22;23;24;25;26,42
17293,2+31,8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,8,29,16,1;2;1;1;2;2;1;1;2;2;1;1;1;2;1,2316095879/2310604725,5491154/2310604725,523252,5;11;13;17;19;23;29;37;41;43;47;53;59;61;67,15,5,2+31->5;11;13;17;19;23;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=13;26,8,max=1;tops=17,1,max=1;tops=19,1,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,1,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,14,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,39,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,39,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,34,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,52,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,6,max=0;tops=8;9;11;12;13;15;17;18;19;21;23;24;25;26;28;29,44
17342,2+31,8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,8,30,16,1;2;1;1;2;2;1;2;1;1;2;2;1;2;1,132760409/133243110,-482701/133243110,523006,3;5;7;11;13;17;19;29;37;41;43;47;53;59;61;67,16,3,2+31->3;5;7;11;13;17;19;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=13;26,8,max=1;tops=17,1,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,15,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,1,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,16,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,5,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,35,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,11,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,52,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,40,max=0;tops=8;9;11;12;13;15;17;18;20;21;22;24;26;27;29;30,42
17425,2+31,8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,8,28,16,1;2;1;1;2;2;2;1;1;1;2;1;1;1;1,124878847/124710300,168547/124710300,523254,3;5;11;13;17;19;23;29;37;41;43;47;53;59;61;67,16,3,2+31->3;5;11;13;17;19;23;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=13;26,8,max=1;tops=17,1,max=1;tops=19,1,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,1,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,20,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,4,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,9,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,41,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,43,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,15,max=0;tops=8;9;11;12;13;15;17;19;20;21;22;24;25;26;27;28,57
17459,2+31,8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,8,30,16,1;2;1;1;2;2;2;1;2;1;1;1;1;2;2,6649329959/6692786100,-43456141/6692786100,523262,3;5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,17,3,2+31->3;5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=13;26,8,max=1;tops=17,1,max=1;tops=19,1,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,1,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,29,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,15,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,2,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,44,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,42,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,59,max=0;tops=8;9;11;12;13;15;17;19;20;22;23;24;25;26;28;30,42
17997,2+31,8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,8,30,16,1;2;1;2;1;2;1;1;1;2;2;1;1;2;2,97005611/96996900,8711/96996900,523260,5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,16,5,2+31->5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=26,7,max=1;tops=17,1,max=1;tops=19,1,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,1,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,23,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,31,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,46,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,40,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,35,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,8,max=0;tops=8;9;11;12;14;15;17;18;19;20;22;24;25;26;28;30,41
18060,2+31,8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,8,28,16,1;2;1;2;1;2;1;2;1;1;1;1;2;1;1,211828633/211351140,477493/211351140,523262,3;5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,17,3,2+31->3;5;7;11;13;17;19;23;29;37;41;43;47;53;59;61;67,false,false,false,max=3;tops=8;24,0,max=1;tops=26,7,max=1;tops=17,1,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,2,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,1,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,30,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,34,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,12,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,13,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,18,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,35,max=0;tops=8;9;11;12;14;15;17;18;20;21;22;23;24;26;27;28,7
18122,19+37,8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,8,34,17,1;2;1;2;1;2;1;2;2;2;1;2;2;1;2;2,824437819/819957600,4480219/819957600,522111,2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61;67,17,2,19+37->2;3;5;7;11;13;17;23;29;31;41;43;47;53;59;61;67,false,false,false,max=5;tops=32,1,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,7,max=1;tops=17;34,10,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,1,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,27,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,1,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,24,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,24,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,49,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,53,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,7,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;25;27;29;30;32;34,8
18144,19+37,8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,8,34,17,1;2;1;2;1;2;1;2;2;2;2;2;1;1;2;2,237493171/236876640,616531/236876640,522109,2;5;7;11;13;17;23;29;31;41;43;47;53;59;61;67,16,2,19+37->2;5;7;11;13;17;23;29;31;41;43;47;53;59;61;67,false,false,false,max=5;tops=32,1,max=1;tops=26,7,max=1;tops=17;34,10,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,1,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,15,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,1,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,15,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,18,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,11,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,36,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,11,max=0;tops=8;9;11;12;14;15;17;18;20;22;24;26;28;29;30;32;34,5
